Full Name,Surname,Institute,Expertise,Geography,Gender,Other Notes,Email Address,Status,
Silvia Alencar,Alencar ,Federal University of Minas Gerais,"Acretion of LMS, Magneto-acretion",SA-BR,F,,,Member,
Myriam Benisty,Benisty,Institut de Planétologie et d'Astrophysique de Grenoble,TBF,EU - FR,F ,,,Member,
Jérôme Bouvier (SOC co-chair),Bouvier,Institut de Planétologie et d'Astrophysique de Grenoble,TBF,EU - FR,M,,,Chair,
Allan Sacha Brun (SOC chair),Brun,CEA Saclay,TBF,EU - FR,M,,,Chair,
Corinne Charbonnel,Charbonnel,Geneva Observatory,TBF,EU - SW,F,,,Member,
Marc DeRosa,DeRosa,Lockheed Martin Solar and Astrophysics Laboratory,TBF,US,M,,,Member,
Andrea Dupree,Dupree,Harvard-Smithsonian Center for Astrophysics,TBF,US,M,,,Member,
Luca Fossati,Fossati,Austrian Academy of Sciences,TBF,EU - AU,M,,,Member,
Laurent Gizon,Gizon,Max Planck Institute for Solar System Research,TBF,EU - GE,M,,,Member,
Gregory Herczeg,Herczeg,KIAA / Peking University,TBF,CH,M,,,Member,
Lynne Hillenbrand,Hillenbrand,California Institute of Technology,TBF,US,F,,,Member,
Miho Janvier,Janvier,IAS / University of Paris-Sud,TBF,US,M,,,Member,
Moira Jardine,Jardine,University of Saint Andrews,"stellar activity, young stars",EU – UK,F,,,Member,
Elena Khomenko,Khomenko,Instituto de Astrofísica de Canarias,TBF,EU - SP,F,,,Member,
Heidi Korhonen,Korhonen,European Southern Observatory,TBF,EU,F,,,Member,
Ágnes Kóspál,Kospal,Konkoly Observatory,TBF,EU - HG,F,,,Member,
Sean Matt,Matt,University of Exeter,TBF,EU - UK,M,,,Member,
Pascal Petit (LOC chair),Petit,Institut de Recherche en Astrophysique et Planétologie,TBF,EU - FR,M,,,Chair,
Sofia Randich,Randich,INAF / Arcetri Astrophysical Observatory,TBF,EU - IT,F,,,Member,
Rachael Roettenbacher,Roettenbacher,Yale University,TBF,US,F,,,Member,
Alexis Rouillard,Rouillard,Institut de Recherche en Astrophysique et Planétologie,TBF,EU - FR,M,,,Member,
Klaus Strassmeier,Strassmeier,Leibniz-Institut für Astrophysik Potsdam,TBF,EU - GE,M,,,Member,
Takeru Suzuki,Suzuki,University of Tokyo,TBF,JP,M,,,Member,
Adriana Valio,Valio,Mackenzie Presbyterian University,TBF,US,F,,,Member,
Scott Wolk,Wolk,Harvard-Smithsonian Center for Astrophysics,TBF,US,M,,,Member,
